,x_ind,cluster,centroid,train/test,lambda,rf,error,parent_ind
440,440,4,0,0,4,0.26666666666666666,-0.06666666666666665,141
441,441,2,0,0,5,0.13333333333333333,-0.13333333333333333,342
442,442,3,0,0,4,0.2,0.39999999999999997,1545
443,443,2,0,1,5,0.13333333333333333,0.0,433
444,444,1,0,0,3,0.0,0.0,4280
445,445,1,0,0,5,0.0,0.0,356
446,446,2,1,0,1,0.06666666666666667,0.0,554
447,447,1,1,0,4,0.0,0.0,348
448,448,2,0,0,4,0.0,0.26666666666666666,1623
449,449,2,0,0,5,0.13333333333333333,-0.13333333333333333,342
450,450,4,0,1,4,0.4666666666666667,-0.13333333333333336,4406
451,451,2,0,0,5,0.13333333333333333,-0.13333333333333333,342
452,452,0,1,0,3,0.3333333333333333,0.0,273
453,453,2,1,0,4,0.13333333333333333,0.0,573
454,454,0,1,0,4,0.2,0.0,466
455,455,1,0,0,5,0.0,0.0,356
456,456,2,1,0,3,0.0,0.0,635
457,457,0,0,1,5,0.0,0.0,467
458,458,2,1,0,2,0.4666666666666667,0.0,4534
459,459,4,0,0,5,0.13333333333333333,0.19999999999999998,469
460,460,0,1,0,1,0.6666666666666666,0.0,571
461,461,0,0,0,5,0.13333333333333333,0.19999999999999998,382
462,462,2,1,0,3,0.4666666666666667,0.0,760
463,463,1,0,1,5,0.13333333333333333,0.0,473
464,464,7,1,0,0,0.4666666666666667,0.0,-1
465,465,1,0,1,5,0.0,0.13333333333333333,575
466,466,2,1,0,3,0.06666666666666667,0.0,4410
467,467,0,1,0,4,0.0,0.0,475
468,468,2,0,1,4,0.06666666666666667,0.06666666666666667,349
469,469,4,1,0,4,0.3333333333333333,0.0,479
470,470,2,0,0,4,0.13333333333333333,0.2666666666666667,649
471,471,0,0,1,5,0.13333333333333333,0.19999999999999998,382
472,472,2,0,1,4,0.6666666666666666,0.33333333333333337,293
473,473,1,1,0,4,0.13333333333333333,0.0,573
474,474,4,1,0,4,0.4666666666666667,0.0,462
475,475,0,1,0,3,0.13333333333333333,0.0,1280
476,476,1,1,0,3,0.6,0.0,667
477,477,4,0,0,5,0.0,0.13333333333333333,388
478,478,2,0,1,4,0.06666666666666667,0.0,359
479,479,0,1,0,3,0.4,0.0,280
480,480,2,0,0,5,0.5333333333333333,-0.4,361
481,481,0,0,0,5,0.3333333333333333,0.0,382
482,482,4,1,0,3,0.13333333333333333,0.0,661
483,483,0,0,0,5,0.3333333333333333,0.0,493
484,484,0,1,0,3,0.7333333333333333,0.0,2361
485,485,1,0,1,5,0.13333333333333333,0.0,575
486,486,0,0,1,5,0.4,-0.4,379
487,487,2,0,0,4,0.13333333333333333,0.06666666666666668,398
488,488,0,1,0,3,0.8,0.0,2469
489,489,1,1,0,4,0.6666666666666666,0.0,479
490,490,2,0,0,4,0.8,-0.2666666666666667,383
491,491,0,0,1,5,0.5333333333333333,-0.2,382
492,492,4,1,0,3,0.5333333333333333,0.0,671
493,493,0,1,0,4,0.3333333333333333,0.0,573
494,494,0,0,0,4,0.3333333333333333,0.0,792
495,495,2,1,0,4,0.3333333333333333,0.0,773
496,496,0,0,0,3,0.8,-0.33333333333333337,675
497,497,2,0,1,4,0.13333333333333333,0.06666666666666668,398
498,498,2,0,0,4,0.4,0.4,784
499,499,2,1,0,4,0.3333333333333333,0.0,509
500,500,3,0,0,4,0.4,0.0,1495
501,501,2,0,1,5,0.3333333333333333,-0.19999999999999998,401
502,502,2,1,0,3,0.6,0.0,1605
503,503,2,0,0,5,0.3333333333333333,-0.06666666666666665,513
504,504,4,1,0,3,0.13333333333333333,0.0,205
505,505,0,0,1,5,0.26666666666666666,-0.26666666666666666,314
506,506,1,0,0,4,0.06666666666666667,0.13333333333333336,1621
507,507,4,1,0,4,0.13333333333333333,0.0,118
508,508,4,1,0,3,0.13333333333333333,0.0,329
509,509,2,1,0,3,0.3333333333333333,0.0,1604
510,510,0,0,0,5,0.7333333333333333,-0.6,331
511,511,0,0,1,5,0.3333333333333333,0.26666666666666666,600
512,512,4,1,0,3,0.3333333333333333,0.0,619
513,513,2,1,0,4,0.26666666666666666,0.0,612
514,514,3,0,0,4,0.4666666666666667,0.4,2780
515,515,2,0,0,5,0.13333333333333333,0.19999999999999998,614
516,516,0,0,0,4,0.13333333333333333,0.33333333333333337,814
517,517,1,0,1,5,0.13333333333333333,-0.13333333333333333,417
518,518,2,1,0,3,0.5333333333333333,0.0,39
519,519,4,1,0,4,0.3333333333333333,0.0,509
520,520,2,1,0,3,0.3333333333333333,0.0,3577
521,521,2,0,0,4,0.3333333333333333,-0.06666666666666665,531
522,522,3,1,0,2,0.6,0.0,622
523,523,0,0,0,5,0.26666666666666666,0.06666666666666665,632
524,524,2,0,0,4,0.13333333333333333,-0.13333333333333333,225
525,525,2,0,0,5,0.13333333333333333,0.19999999999999998,614
526,526,2,1,0,3,0.26666666666666666,0.0,4470
