,x_ind,cluster,centroid,train/test,lambda,rf,error,parent_ind
368,368,1,0,0,4,0.0,0.0,278
369,369,1,1,0,3,0.4666666666666667,0.0,774
370,370,2,1,0,4,0.3333333333333333,0.0,380
371,371,2,0,1,4,0.4666666666666667,0.2666666666666666,4446
372,372,0,1,0,1,0.13333333333333333,0.0,571
373,373,1,0,1,4,0.2,0.06666666666666665,73
374,374,3,1,0,2,0.13333333333333333,0.0,372
375,375,1,0,0,3,0.13333333333333333,0.2666666666666667,852
376,376,2,0,1,4,0.13333333333333333,0.0,286
377,377,1,1,0,3,0.4666666666666667,0.0,484
378,378,0,0,1,4,0.0,0.13333333333333333,487
379,379,1,1,0,3,0.0,0.0,558
380,380,4,1,0,3,0.4666666666666667,0.0,280
381,381,1,0,0,4,0.9333333333333333,0.06666666666666665,81
382,382,4,0,0,5,0.3333333333333333,0.0,282
383,383,3,0,0,4,0.5333333333333333,-0.4,263
384,384,1,1,0,4,0.3333333333333333,0.0,483
385,385,1,1,0,2,0.2,0.0,1667
386,386,3,1,0,2,0.13333333333333333,0.0,356
387,387,2,0,1,3,0.3333333333333333,-0.1333333333333333,685
388,388,0,0,0,4,0.13333333333333333,0.0,487
389,389,1,0,0,4,0.5333333333333333,0.06666666666666665,89
390,390,3,0,0,5,0.6666666666666666,0.0,489
391,391,3,1,0,3,0.8666666666666667,0.0,570
392,392,0,0,0,5,0.5333333333333333,-0.2,481
393,393,3,0,1,4,1.0,0.0,1387
394,394,1,0,0,5,0.4,-0.06666666666666671,384
395,395,1,0,0,4,0.7333333333333333,-0.4666666666666666,275
396,396,2,0,0,4,0.3333333333333333,-0.19999999999999998,286
397,397,2,0,0,3,0.2,-0.2,277
398,398,0,0,0,4,0.2,-0.06666666666666668,487
399,399,3,0,0,5,0.26666666666666666,0.06666666666666665,499
400,400,1,1,0,4,0.26666666666666666,0.0,3377
401,401,1,0,0,6,0.13333333333333333,0.0,302
402,402,1,0,0,4,0.4,0.33333333333333326,510
403,403,0,0,0,5,0.13333333333333333,0.0,413
404,404,3,1,0,3,0.13333333333333333,0.0,213
405,405,4,0,0,5,0.13333333333333333,-0.13333333333333333,306
406,406,3,0,0,4,0.2,0.06666666666666665,526
407,407,3,0,0,5,0.13333333333333333,0.0,507
408,408,1,0,0,4,0.4666666666666667,-0.06666666666666665,706
409,409,1,1,0,3,0.26666666666666666,0.0,312
410,410,0,0,1,4,0.13333333333333333,0.0,4366
411,411,2,0,0,5,0.13333333333333333,0.0,1416
412,412,1,1,0,2,0.13333333333333333,0.0,3271
413,413,0,1,0,4,0.13333333333333333,0.0,314
414,414,3,0,1,4,0.3333333333333333,-0.3333333333333333,223
415,415,1,0,1,5,0.13333333333333333,-0.13333333333333333,316
416,416,1,0,1,4,0.0,0.3333333333333333,9
417,417,3,1,0,3,0.0,0.0,437
418,418,3,0,0,4,0.2,0.06666666666666665,526
419,419,1,1,0,4,0.26666666666666666,0.0,409
420,420,3,1,0,1,0.13333333333333333,0.0,421
421,421,2,1,0,0,0.13333333333333333,0.0,-1
422,422,0,0,1,4,0.0,0.0,4258
423,423,4,1,0,4,0.13333333333333333,0.0,314
424,424,1,0,0,4,0.13333333333333333,-0.13333333333333333,317
425,425,3,0,0,5,0.13333333333333333,-0.13333333333333333,326
